rank,boyName,boyNum,girlName,girlNum
1,Jacob,126832,Emma,138708
2,Noah,126722,Sophia,137986
3,Mason,119941,Olivia,128710
4,William,116186,Isabella,126845
5,Liam,114177,Ava,109931
6,Ethan,113066,Emily,90593
7,Michael,109542,Mia,90046
8,Alexander,105785,Abigail,88704
9,Daniel,99846,Madison,76872
10,Jayden,99525,Elizabeth,68216
11,Aiden,98476,Chloe,64993
12,James,98005,Charlotte,63059
13,Elijah,96601,Ella,61368
14,Benjamin,93798,Avery,59114
15,Matthew,93709,Sofia,59032
16,Logan,89522,Amelia,56411
17,David,87228,Addison,55490
18,Anthony,87142,Evelyn,55224
19,Joseph,85876,Harper,53386
20,Jackson,84910,Grace,52832
21,Joshua,83397,Natalie,52501
22,Andrew,82296,Lily,51058
23,Lucas,80266,Aubrey,50029
24,Gabriel,79837,Victoria,50012
25,Christopher,79121,Lillian,47918
26,Samuel,78138,Hannah,47048
27,John,74876,Zoey,47025
28,Dylan,70688,Brooklyn,45957
29,Ryan,70051,Samantha,45182
30,Isaac,68649,Layla,43683
31,Nathan,67428,Zoe,42587
32,Carter,67119,Leah,40866
33,Luke,66782,Anna,38499
34,Caleb,65909,Riley,37934
35,Christian,64514,Allison,37739
36,Owen,62913,Audrey,37538
37,Jonathan,61848,Savannah,37476
38,Landon,61410,Hailey,36962
39,Henry,60452,Gabriella,36871
40,Wyatt,59813,Scarlett,36164
41,Jack,58781,Camila,35725
42,Oliver,57276,Kaylee,35563
43,Hunter,56371,Sarah,35316
44,Sebastian,56318,Alexis,35184
45,Isaiah,55717,Aaliyah,34836
46,Julian,54084,Nevaeh,34597
47,Brayden,52522,Claire,34433
48,Nicholas,51774,Alexa,32984
49,Levi,51582,Arianna,32875
50,Gavin,51575,Alyssa,32000
51,Evan,51559,Taylor,30884
52,Aaron,51538,Peyton,30485
53,Eli,51390,Aria,30432
54,Connor,50471,Ashley,30336
55,Jordan,49980,Brianna,30120
56,Jeremiah,49880,Ariana,29911
57,Charles,49547,Bella,29378
58,Cameron,49493,Stella,28923
59,Thomas,49122,Kylie,28631
60,Tyler,49039,Lucy,28480
61,Adrian,48007,Serenity,28063
62,Angel,47571,Genesis,28039
63,Robert,46826,Madelyn,27934
64,Jaxon,46188,Maya,27879
65,Austin,44822,Penelope,27615
66,Brandon,44590,Ellie,27485
67,Josiah,42270,Khloe,27377
68,Colton,41983,Caroline,27188
69,Jose,41823,Autumn,27141
70,Kevin,41601,Julia,26912
71,Dominic,40685,Mackenzie,26826
72,Grayson,40624,Kennedy,26713
73,Zachary,40495,Sophie,26616
74,Chase,39365,Violet,26480
75,Jason,38724,Sadie,26325
76,Ayden,38493,Nora,26173
77,Ian,38074,Skylar,26128
78,Justin,36959,Katherine,26091
79,Parker,36812,Eva,24729
80,Adam,36723,Kayla,24576
81,Cooper,35550,Gianna,24532
82,Xavier,35458,Faith,24397
83,Blake,34398,Naomi,24388
84,Jace,34274,Melanie,24356
85,Bentley,33655,Aubree,24107
86,Nolan,33563,Paisley,23881
87,Carson,33374,Alexandra,23765
88,Hudson,32537,Lauren,23649
89,Nathaniel,31715,Makayla,23627
90,Easton,30855,Madeline,23573
91,Brody,29888,Lydia,23043
92,Tristan,29452,Piper,23025
93,Luis,29348,Sydney,22734
94,Lincoln,28836,Jasmine,22718
95,Juan,28822,Mila,22572
96,Asher,28418,Eleanor,22570
97,Kayden,28238,Annabelle,22547
98,Jaxson,28110,Ruby,22442
99,Carlos,26449,Morgan,22249
100,Cole,26432,Kimberly,22132
101,Ryder,26340,Bailey,21773
102,Vincent,26166,Jocelyn,21377
103,Bryson,25986,London,21209
104,Jesus,25810,Trinity,20976
105,Micah,25584,Maria,20841
106,Mateo,25516,Andrea,20663
107,Max,25298,Reagan,20231
108,Alex,24948,Molly,20132
109,Damian,24856,Isabelle,20101
110,Elias,24837,Rylee,19934
111,Diego,24370,Alice,19536
112,Leo,24363,Natalia,19354
113,Eric,24067,Brooke,19180
114,Miles,24013,Payton,18585
115,Maxwell,23759,Mary,18517
116,Hayden,23250,Hazel,18378
117,Santiago,22493,Jade,18333
